#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	NPupils	Priori	Special
6786 513 0 199 - 2 4 17 1 -1 50 - 0 - 
6787 513 0 199 - 3 3 17 1 -1 50 - 0 - 
6788 513 0 199 - 3 4 17 1 -1 50 - 0 - 
6789 513 0 199 - 4 3 17 1 -1 50 - 0 - 
6790 513 0 199 - 4 4 17 1 -1 50 - 0 - 
6791 513 0 199 - 5 3 17 1 -1 50 - 0 - 
6792 513 0 199 - 5 4 17 1 -1 50 - 0 - 
6793 513 0 199 - 1 5 17 1 -1 50 - 0 - 
6795 513 0 199 - 2 5 17 1 -1 50 - 0 - 
6797 513 0 199 - 3 5 17 1 -1 50 - 0 - 
6799 513 0 199 - 4 5 17 1 -1 50 - 0 - 
6801 513 0 199 - 5 5 17 1 -1 50 - 0 - 
6804 514 0 199 - 1 2 17 1 -1 50 - 0 - 
6806 514 0 199 - 2 2 17 1 -1 50 - 0 - 
6808 514 0 199 - 3 2 17 1 -1 50 - 0 - 
6810 514 0 199 - 4 2 17 1 -1 50 - 0 - 
6812 514 0 199 - 5 2 17 1 -1 50 - 0 - 
6813 514 0 199 - 5 3 17 1 -1 50 - 0 - 
6814 514 0 199 - 5 4 17 1 -1 50 - 0 - 
6815 514 0 199 - 1 5 17 1 -1 50 - 0 - 
6817 514 0 199 - 3 5 17 1 -1 50 - 0 - 
6819 514 0 199 - 2 5 17 1 -1 50 - 0 - 
6821 514 0 199 - 4 5 17 1 -1 50 - 0 - 
6829 515 0 199 - 3 5 17 1 -1 50 - 0 - 
6831 515 0 199 - 4 5 17 1 -1 50 - 0 - 
6833 515 0 199 - 5 5 17 1 -1 50 - 0 - 
6900 400 0 32 - 2 4 1 1 -1 50 - 0 - 
6901 400 0 32 - 2 6 1 1 -1 50 - 0 - 
6902 400 0 32 - 2 7 1 1 -1 50 - 0 - 
6907 472 0 24 - 1 6 15 2 -1 45 - 0 - 
6908 472 0 24 - 1 7 15 2 -1 45 - 0 - 
6919 518 0 146 - 1 3 12 1 -1 50 - 0 - 
6929 518 0 146 - 2 1 12 1 -1 60 - 0 - 
6930 518 0 146 - 2 2 12 1 -1 60 - 0 - 
6935 518 0 146 - 2 5 12 1 -1 50 - 0 - 
6940 518 0 146 - 3 2 12 1 -1 75 - 0 - 
6941 518 0 146 - 3 5 12 1 -1 75 - 0 - 
6942 518 0 146 - 3 6 12 1 -1 75 - 0 - 
6945 0 0 146 - 1 3 12 1 -1 60 - 0 - 
6946 0 0 146 - 1 4 12 1 -1 60 - 0 - 
6947 0 0 146 - 2 3 12 1 -1 60 - 0 - 
6948 0 0 146 - 2 4 12 1 -1 60 - 0 - 
6953 0 0 146 - 2 5 12 1 -1 60 - 0 - 
6954 0 0 146 - 2 6 12 1 -1 60 - 0 - 
6955 0 0 146 - 4 1 12 1 -1 60 - 0 - 
6956 0 0 146 - 4 2 12 1 -1 60 - 0 - 
6957 519 0 146 - 4 3 12 1 -1 50 - 0 - 
6967 0 0 146 - 3 1 12 1 -1 60 - 0 - 
6968 0 0 146 - 3 2 12 1 -1 60 - 0 - 
7007 521 0 146 - 2 1 12 1 -1 60 - 0 - 
7008 521 0 146 - 2 2 12 1 -1 60 - 0 - 
7009 521 0 146 - 2 5 12 1 -1 60 - 0 - 
7010 521 0 146 - 2 6 12 1 -1 60 - 0 - 
7011 521 0 146 - 4 1 12 1 -1 60 - 0 - 
7012 521 0 146 - 4 2 12 1 -1 60 - 0 - 
7013 521 0 146 - 4 3 12 1 -1 50 - 0 - 
7015 521 0 146 - 4 7 13 1 -1 60 - 0 - 
7037 522 0 146 - 3 5 12 1 -1 45 - 0 - 
7038 522 0 146 - 3 6 12 1 -1 45 - 0 - 
7142 526 0 233 - 2 9 14 1 -1 40 - 0 - 
7597 545 0 233 - 2 3 14 1 -1 40 - 0 - 
7607 546 0 233 - 3 9 14 1 -1 40 - 0 - 
7654 476 0 24 - 4 8 15 2 -1 45 - 0 - 
7655 476 0 24 - 4 9 15 2 -1 45 - 0 - 
7689 549 0 24 - 2 2 2 2 -1 40 - 0 - 
7690 549 0 24 - 2 3 2 2 -1 40 - 0 - 
7697 549 0 24 - 1 6 2 2 -1 45 - 0 - 
7698 549 0 24 - 1 7 2 2 -1 45 - 0 - 
7717 552 0 207 - 1 14 17 1 -1 60 - 0 - 
7718 552 0 207 - 1 15 17 1 -1 60 - 0 - 
